Sales,Competitor_Price,Income,Advertising,Population,Price,Shelf_Location,Age,Education,Urban,US
52,135,80,22,411,96,Good,29,15,No,No
93,78,101,25,972,104,Good,37,13,No,No
15,118,71,20,158,155,Good,47,12,Yes,No
72,96,93,21,742,170,Medium,54,11,Yes,No
61,143,145,6,813,104,Bad,50,10,Yes,No
21,193,44,13,854,193,Medium,46,14,No,Yes
83,134,140,14,134,61,Good,30,11,Yes,Yes
87,88,58,6,544,194,Medium,57,11,Yes,No
75,149,62,8,192,193,Good,24,16,No,No
75,82,145,47,306,189,Medium,27,17,No,No
88,150,123,7,452,185,Good,53,19,No,Yes
24,72,132,49,431,52,Medium,31,17,No,Yes
3,59,56,22,916,193,Medium,57,13,No,No
22,118,65,28,961,79,Medium,20,10,Yes,No
53,149,58,17,824,72,Bad,50,16,Yes,Yes
2,83,67,30,258,141,Medium,23,10,Yes,No
88,187,86,29,123,164,Bad,24,13,No,Yes
30,196,126,38,503,153,Good,49,17,No,Yes
38,145,130,34,904,167,Medium,43,11,No,No
2,50,56,17,615,54,Good,22,15,Yes,Yes
64,118,84,41,831,153,Good,30,15,Yes,No
60,53,62,38,463,157,Medium,23,18,No,No
21,65,97,16,481,114,Bad,45,14,Yes,No
33,73,115,13,631,170,Medium,46,19,No,No
76,129,95,30,251,79,Good,46,13,Yes,No
58,51,39,23,661,198,Good,25,14,Yes,No
22,177,34,34,788,133,Medium,34,19,Yes,Yes
89,133,103,43,707,199,Bad,49,14,No,Yes
49,189,126,44,716,81,Bad,56,17,Yes,Yes
91,173,147,33,519,65,Good,56,19,Yes,Yes
59,82,67,2,349,87,Good,56,17,No,No
42,150,42,36,216,191,Bad,54,11,Yes,Yes
92,61,60,42,965,85,Medium,42,16,No,Yes
60,116,76,39,611,163,Good,25,17,No,Yes
80,114,129,25,839,115,Bad,23,15,No,No
15,123,138,22,677,154,Good,37,14,No,Yes
62,92,117,43,434,134,Medium,28,18,No,No
62,93,81,38,517,51,Bad,48,12,Yes,Yes
47,78,85,14,873,124,Good,32,19,No,No
62,190,44,48,394,116,Medium,36,13,No,No
51,61,58,3,854,104,Good,51,18,No,Yes
55,144,37,28,470,55,Medium,41,15,No,No
64,95,34,21,285,199,Medium,23,17,Yes,No
3,179,58,24,345,192,Bad,24,16,No,Yes
51,84,76,12,736,135,Medium,56,11,Yes,Yes
7,130,97,17,367,109,Good,32,12,No,Yes
21,139,105,32,742,150,Medium,53,10,Yes,No
73,57,74,15,336,61,Medium,41,18,No,No
39,142,31,44,629,98,Bad,42,16,No,No
18,139,56,41,651,91,Medium,22,10,Yes,Yes
4,164,124,43,120,131,Medium,53,12,No,No
89,154,144,1,836,84,Good,51,13,Yes,No
60,184,144,34,966,183,Bad,40,13,No,No
14,107,65,41,893,116,Bad,40,14,Yes,No
9,163,65,33,619,129,Bad,30,12,No,No
90,124,55,29,199,56,Medium,58,12,No,No
53,169,72,12,851,63,Bad,23,10,Yes,No
2,70,56,12,577,122,Medium,20,16,No,Yes
84,187,98,17,698,192,Medium,47,19,No,Yes
92,150,49,31,397,198,Good,43,10,No,Yes
60,148,40,31,625,115,Good,54,11,No,No
71,85,103,34,433,140,Good,32,13,No,No
44,145,133,38,101,179,Good,53,13,No,Yes
8,86,67,45,474,69,Good,30,14,Yes,No
47,61,35,28,392,59,Medium,55,11,Yes,Yes
35,162,101,48,936,74,Medium,36,13,Yes,No
78,62,52,28,652,74,Bad,54,10,No,No
81,72,76,43,417,103,Medium,37,11,Yes,Yes
36,148,119,15,601,82,Medium,59,10,No,Yes
50,154,75,43,927,144,Good,41,19,No,Yes
4,79,136,46,480,63,Medium,43,19,No,Yes
2,66,41,9,722,114,Good,38,13,No,Yes
6,162,119,29,113,159,Bad,56,13,Yes,No
54,111,42,24,603,129,Bad,58,16,No,No
4,133,133,38,330,103,Medium,40,19,Yes,No
54,161,91,19,183,174,Bad,27,18,No,Yes
93,135,111,4,229,180,Medium,47,18,Yes,Yes
63,190,118,0,842,183,Bad,24,14,Yes,Yes
18,68,126,29,937,74,Good,36,19,Yes,Yes
90,149,140,48,244,190,Good,56,10,Yes,Yes
44,189,133,2,990,166,Good,55,10,Yes,Yes
34,196,89,44,956,185,Good,38,15,Yes,No
74,125,72,13,127,198,Medium,46,11,No,No
62,58,105,29,165,74,Bad,53,17,Yes,No
14,77,137,49,262,128,Medium,30,18,No,No
95,177,129,3,328,117,Good,31,13,Yes,No
48,101,141,17,360,61,Medium,40,14,No,Yes
15,132,97,36,548,81,Bad,30,17,Yes,Yes
72,160,34,24,523,177,Medium,58,12,Yes,Yes
78,193,149,47,559,145,Bad,47,14,No,Yes
87,166,66,0,775,141,Medium,24,12,Yes,Yes
62,118,101,45,400,190,Bad,36,19,Yes,Yes
40,148,135,14,402,80,Bad,39,12,Yes,No
85,189,142,8,386,127,Good,31,12,No,Yes
80,74,121,14,494,69,Bad,25,16,Yes,Yes
82,172,60,48,109,195,Good,36,16,No,Yes
53,102,38,23,806,109,Good,38,16,Yes,Yes
24,193,147,3,729,183,Good,45,19,Yes,No
26,106,80,11,369,142,Medium,51,17,No,No
89,88,58,36,691,92,Medium,25,14,Yes,Yes
60,158,107,36,704,179,Medium,55,14,Yes,No
41,91,69,42,877,109,Medium,57,13,No,No
29,191,70,5,943,80,Bad,30,16,Yes,Yes
15,171,115,38,961,54,Bad,52,19,No,Yes
45,182,40,45,460,59,Medium,43,13,No,Yes
65,124,52,23,356,138,Bad,42,11,No,Yes
89,195,30,10,232,179,Bad,34,13,Yes,Yes
71,125,75,12,375,175,Good,46,17,No,No
9,58,130,33,875,60,Good,30,18,No,Yes
88,123,50,24,782,105,Good,36,12,Yes,Yes
1,194,119,6,612,132,Good,33,16,No,Yes
8,56,139,3,412,186,Bad,46,18,Yes,No
88,190,65,7,675,148,Medium,37,13,Yes,Yes
63,186,83,19,985,198,Bad,47,19,Yes,Yes
11,76,116,28,383,122,Bad,23,12,Yes,Yes
81,171,86,44,220,164,Bad,26,14,No,No
8,54,30,45,206,56,Good,54,10,No,Yes
35,78,92,9,786,129,Good,28,12,No,Yes
35,132,83,42,303,193,Good,27,17,No,Yes
33,185,84,33,264,146,Medium,36,17,No,No
5,158,144,25,404,53,Bad,36,13,Yes,Yes
41,114,69,40,596,53,Medium,52,11,No,Yes
28,135,44,48,731,152,Good,51,17,No,Yes
7,194,50,2,655,89,Medium,27,17,No,No
73,120,76,5,923,66,Bad,38,19,Yes,Yes
72,94,102,4,255,150,Bad,57,13,Yes,Yes
12,181,82,4,466,152,Good,22,12,No,Yes
34,85,38,46,818,173,Good,24,11,Yes,No
33,119,103,22,719,101,Medium,32,18,No,No
48,68,81,48,350,101,Good,50,10,No,Yes
23,157,86,8,981,173,Good,35,16,Yes,No
62,140,146,34,433,112,Bad,51,14,Yes,No
88,139,55,19,741,165,Good,41,17,No,No
37,68,70,48,610,111,Good,48,13,No,Yes
99,88,64,41,392,56,Bad,41,16,Yes,Yes
44,175,92,34,119,141,Bad,22,14,No,No
86,190,145,49,381,63,Medium,29,14,Yes,No
91,175,54,17,896,135,Good,40,18,No,No
35,107,119,16,100,182,Bad,35,18,Yes,Yes
65,197,104,23,218,179,Medium,31,18,No,Yes
99,110,67,2,134,111,Medium,21,15,No,No
47,176,31,31,297,198,Good,43,15,Yes,No
78,154,36,34,584,128,Good,54,14,No,No
3,50,111,37,856,198,Medium,49,18,No,No
1,180,120,12,158,187,Bad,49,19,Yes,Yes
5,141,63,46,936,107,Medium,54,17,No,No
90,162,120,24,260,169,Good,38,16,No,Yes
14,105,46,8,790,182,Bad,27,16,No,No
27,166,72,3,305,114,Bad,45,15,Yes,No
9,183,88,13,111,62,Medium,59,14,Yes,No
79,107,137,36,589,131,Good,26,13,Yes,No
15,93,80,33,375,188,Medium,49,12,No,No
90,110,83,10,792,198,Medium,26,12,No,Yes
42,96,53,40,341,101,Medium,22,15,No,No
77,198,54,2,315,166,Bad,20,13,No,No
51,129,100,27,350,75,Bad,55,15,Yes,No
63,167,81,28,910,83,Good,44,12,No,Yes
96,196,99,8,225,101,Good,56,13,No,Yes
52,69,146,2,316,161,Medium,20,18,No,Yes
96,195,117,24,405,131,Medium,34,14,Yes,Yes
4,96,62,33,896,91,Medium,56,16,No,No
94,98,78,11,284,70,Good,32,19,No,No
23,63,58,41,138,91,Bad,59,11,No,No
15,192,92,8,322,190,Bad,27,14,No,Yes
43,50,136,14,283,162,Medium,24,18,No,No
29,166,51,39,594,154,Medium,28,12,Yes,No
36,103,55,24,526,66,Medium,20,18,No,Yes
13,167,57,4,277,169,Medium,55,15,No,Yes
32,52,143,10,527,186,Good,54,13,No,Yes
71,193,114,33,393,178,Bad,21,16,No,No
59,61,78,23,951,179,Medium,59,17,No,No
86,123,100,14,250,109,Good,42,15,No,Yes
28,65,110,37,483,97,Medium,28,14,No,No
66,151,113,7,737,78,Medium,53,15,No,Yes
42,166,134,4,912,146,Bad,33,14,No,Yes
45,57,78,47,407,59,Medium,23,17,No,No
62,171,49,25,435,107,Bad,49,10,Yes,Yes
57,141,147,17,845,70,Bad,50,16,Yes,Yes
6,139,115,5,991,77,Bad,57,19,Yes,Yes
28,185,121,36,474,83,Good,30,19,Yes,No
28,109,92,47,107,57,Good,54,11,No,Yes
44,77,90,12,440,128,Bad,27,18,Yes,Yes
84,150,133,27,228,194,Medium,22,10,Yes,Yes
30,90,78,4,875,136,Bad,33,19,No,Yes
62,194,100,12,768,137,Medium,32,15,Yes,Yes
75,190,30,16,451,118,Bad,51,18,Yes,Yes
92,95,125,49,457,136,Medium,53,10,No,Yes
89,84,42,39,616,150,Good,38,13,No,No
62,183,123,44,594,57,Medium,57,13,No,No
97,131,116,31,185,126,Bad,35,18,Yes,Yes
1,164,80,28,274,136,Good,21,14,Yes,No
27,96,85,2,901,92,Medium,59,14,No,No
62,59,112,39,292,178,Medium,36,15,No,Yes
77,105,91,33,410,158,Medium,53,10,Yes,No
3,79,61,39,218,66,Medium,35,10,No,Yes
70,158,59,26,317,182,Medium,57,18,Yes,Yes
72,54,58,12,526,197,Good,21,12,No,Yes
27,168,78,44,513,70,Good,21,13,No,Yes
9,82,74,32,213,107,Good,45,10,Yes,Yes
62,167,122,5,244,159,Good,32,18,No,No
37,114,59,23,637,188,Bad,50,17,No,Yes
97,195,45,18,747,192,Good,53,11,No,No
51,60,69,15,402,184,Medium,58,17,Yes,Yes
44,134,48,39,843,77,Medium,22,16,No,Yes
24,75,47,27,980,100,Good,27,15,No,Yes
79,112,30,32,687,54,Medium,42,10,No,No
59,135,107,47,939,54,Good,33,16,No,Yes
32,108,144,40,444,143,Medium,46,19,No,Yes
96,76,76,12,913,145,Bad,48,16,No,Yes
88,147,143,42,900,57,Bad,58,18,Yes,Yes
52,154,95,44,100,113,Good,58,10,Yes,No
62,148,147,24,246,187,Good,20,11,No,Yes
58,178,121,41,386,87,Good,36,18,Yes,No
52,198,142,35,753,160,Medium,49,18,Yes,Yes
12,104,143,26,152,161,Good,32,15,No,No
39,55,123,37,403,130,Bad,40,15,Yes,No
2,144,67,6,168,185,Medium,38,13,Yes,Yes
3,182,80,4,460,153,Good,38,13,Yes,Yes
56,151,92,42,701,122,Medium,44,14,Yes,No
81,52,33,44,319,98,Medium,41,12,Yes,Yes
59,72,30,30,803,85,Good,50,10,Yes,Yes
2,102,37,22,674,175,Medium,36,10,Yes,Yes
2,132,58,41,684,117,Bad,42,16,Yes,No
92,194,84,9,260,127,Bad,51,10,No,Yes
54,134,132,31,780,154,Medium,29,10,No,Yes
87,127,32,42,188,171,Good,29,12,Yes,Yes
96,159,61,29,787,168,Medium,55,19,Yes,No
97,50,39,38,880,163,Bad,27,13,No,Yes
1,100,103,30,684,59,Medium,39,13,Yes,No
19,53,112,17,856,198,Medium,51,11,Yes,Yes
2,162,139,35,688,189,Bad,33,10,No,No
53,81,63,1,258,140,Medium,47,12,No,Yes
44,83,126,13,588,51,Medium,43,13,No,Yes
90,141,116,12,423,167,Good,34,12,Yes,No
32,144,84,28,709,62,Good,41,17,Yes,No
70,121,121,11,480,144,Bad,49,19,No,No
32,88,61,38,201,193,Bad,23,10,No,Yes
68,167,79,1,593,81,Bad,32,11,Yes,Yes
55,52,36,31,743,81,Good,42,16,No,Yes
75,172,122,12,713,173,Bad,27,13,Yes,Yes
56,99,37,45,118,60,Bad,37,17,Yes,No
17,61,94,26,553,59,Bad,31,12,No,Yes
38,103,86,48,581,64,Good,50,15,No,Yes
24,182,148,40,693,66,Medium,33,18,Yes,Yes
69,106,96,16,496,195,Bad,53,10,No,Yes
98,194,117,39,378,108,Medium,37,10,No,Yes
70,161,116,30,950,127,Bad,53,17,No,Yes
86,96,88,33,464,173,Medium,30,12,No,Yes
11,134,101,23,430,163,Good,31,14,Yes,No
16,191,83,44,740,71,Good,34,10,Yes,Yes
97,115,140,34,443,81,Bad,50,14,Yes,Yes
73,124,130,47,921,162,Medium,48,15,Yes,Yes
59,152,96,5,554,169,Good,45,17,No,Yes
70,87,80,18,700,198,Bad,37,12,No,No
80,99,126,29,824,171,Bad,51,12,Yes,No
93,147,121,6,754,81,Good,41,19,Yes,No
3,131,140,9,164,168,Good,57,18,No,No
20,79,37,40,175,88,Bad,36,13,Yes,No
59,128,63,31,810,61,Medium,42,13,Yes,No
36,140,64,33,242,67,Medium,43,16,No,Yes
19,101,125,27,927,198,Medium,27,11,Yes,No
90,128,117,14,704,190,Bad,25,17,No,No
67,79,107,29,572,198,Good,24,15,No,Yes
19,155,61,36,516,175,Bad,48,12,Yes,No
20,100,149,28,404,185,Good,47,18,No,Yes
96,130,75,21,835,95,Medium,30,14,Yes,Yes
71,182,136,3,596,153,Medium,20,17,No,No
52,78,45,19,390,184,Good,38,16,Yes,Yes
33,181,97,31,201,135,Good,28,17,Yes,No
40,187,145,35,366,199,Bad,46,16,Yes,No
39,194,66,49,966,138,Medium,53,12,No,Yes
82,123,83,3,721,71,Bad,23,11,No,Yes
1,66,114,26,941,141,Bad,55,16,Yes,No
11,133,43,16,876,78,Bad,37,12,No,Yes
92,118,124,11,102,62,Medium,34,12,Yes,Yes
57,83,84,21,184,51,Bad,32,11,Yes,No
89,55,77,16,893,78,Bad,38,13,No,No
50,102,111,9,427,76,Bad,25,17,Yes,Yes
23,175,36,0,915,99,Bad,31,10,No,No
31,92,103,21,549,144,Bad,56,10,Yes,No
94,164,36,25,553,137,Bad,36,14,No,No
42,160,62,17,728,93,Medium,42,14,Yes,No
99,129,52,49,320,71,Bad,45,10,Yes,No
7,144,114,13,253,146,Good,48,15,No,No
16,167,48,46,764,52,Bad,52,10,Yes,No
90,193,141,28,111,167,Bad,46,14,Yes,Yes
60,57,48,11,232,68,Medium,44,18,No,No
2,181,65,35,403,72,Medium,29,14,Yes,Yes
1,153,58,34,392,79,Good,42,15,No,Yes
48,181,89,11,399,88,Good,40,17,Yes,Yes
12,74,111,6,839,157,Medium,40,10,No,No
69,145,31,28,882,160,Medium,32,11,Yes,No
37,142,30,10,142,74,Bad,56,18,Yes,Yes
32,110,76,32,442,177,Medium,52,12,Yes,No
9,171,98,5,425,160,Good,43,15,No,Yes
99,100,49,46,913,185,Bad,30,14,No,No
19,196,40,14,597,155,Good,36,11,No,No
48,70,135,31,463,193,Bad,23,16,No,Yes
80,54,31,10,990,121,Medium,44,13,Yes,Yes
3,141,96,22,526,178,Good,49,10,Yes,Yes
20,110,116,25,120,157,Bad,28,13,No,No
24,71,148,33,506,54,Bad,40,15,No,Yes
54,198,41,45,718,52,Medium,39,16,No,No
33,119,49,33,435,181,Medium,38,16,Yes,No
24,50,34,28,914,153,Medium,38,16,No,No
75,182,66,3,216,113,Good,31,12,No,Yes
72,61,67,16,223,155,Bad,56,15,Yes,Yes
36,139,123,34,498,147,Medium,36,17,Yes,Yes
38,95,38,12,892,59,Good,56,13,No,No
84,83,127,40,903,198,Good,58,17,Yes,No
99,127,82,38,814,177,Good,47,11,No,Yes
89,94,73,14,150,95,Medium,54,19,Yes,No
99,122,128,28,882,115,Medium,37,18,No,No
25,75,145,28,423,161,Bad,33,18,No,Yes
93,96,115,10,888,62,Bad,54,17,No,Yes
18,170,137,31,240,186,Medium,26,19,No,Yes
82,105,53,1,569,135,Good,32,19,Yes,No
66,143,110,46,886,139,Good,37,10,Yes,No
54,156,103,13,901,107,Good,56,11,Yes,No
35,112,59,19,433,103,Bad,32,15,Yes,No
80,97,149,21,992,61,Good,55,19,No,No
61,110,88,10,472,63,Bad,50,14,No,Yes
41,130,139,26,663,170,Bad,21,18,Yes,No
33,75,116,2,593,170,Good,35,14,Yes,No
68,85,125,16,638,69,Good,28,11,Yes,No
33,50,110,43,768,124,Medium,28,19,Yes,Yes
14,57,143,27,850,193,Medium,57,13,Yes,Yes
21,162,144,28,255,119,Good,30,18,No,Yes
48,148,110,20,390,105,Bad,41,10,No,No
20,96,43,46,747,150,Bad,52,10,No,Yes
8,176,38,15,243,181,Bad,55,16,Yes,Yes
7,105,69,36,205,160,Bad,42,12,Yes,Yes
67,63,95,19,519,174,Bad,53,19,Yes,No
17,77,138,5,769,181,Medium,28,11,Yes,Yes
33,127,54,18,757,69,Good,43,18,No,No
48,179,132,4,101,187,Medium,27,12,No,No
76,158,102,2,688,73,Bad,26,11,Yes,Yes
59,63,147,0,743,86,Bad,55,17,No,No
86,105,51,37,189,103,Bad,37,19,No,Yes
22,164,136,14,444,152,Bad,22,15,Yes,No
30,56,139,33,449,198,Good,47,15,Yes,Yes
38,52,33,34,558,87,Bad,25,19,Yes,Yes
51,160,55,48,362,53,Good,40,16,Yes,Yes
54,156,87,24,450,106,Bad,47,16,Yes,No
8,67,58,23,207,69,Good,59,15,Yes,Yes
27,87,138,11,685,66,Medium,20,13,No,No
27,164,127,17,138,168,Bad,55,18,No,Yes
98,64,116,14,258,120,Good,40,15,Yes,No
21,168,66,43,682,53,Medium,54,13,No,No
30,77,104,15,411,63,Bad,32,12,Yes,Yes
97,88,99,26,340,52,Bad,29,13,Yes,Yes
28,66,47,7,544,129,Bad,29,12,Yes,Yes
64,135,114,45,397,104,Good,32,11,Yes,Yes
97,175,71,24,135,181,Good,56,14,No,Yes
69,93,129,16,183,169,Medium,57,11,Yes,No
61,74,70,28,551,73,Good,43,15,No,Yes
48,194,67,7,985,131,Good,21,12,Yes,Yes
19,62,63,14,874,196,Bad,41,15,Yes,No
4,74,46,26,921,109,Bad,36,19,Yes,Yes
35,117,66,45,484,196,Bad,55,18,No,Yes
64,187,54,49,271,98,Bad,33,10,Yes,No
49,116,131,6,475,112,Bad,29,15,Yes,Yes
17,158,105,2,784,159,Bad,54,18,Yes,Yes
44,195,116,28,461,199,Bad,44,13,No,Yes
92,160,146,43,658,158,Medium,22,11,No,No
30,160,135,23,990,125,Medium,57,13,No,Yes
93,83,115,2,240,79,Medium,36,10,Yes,No
46,160,114,19,986,107,Medium,31,12,No,Yes
6,57,56,45,217,166,Bad,43,19,Yes,No
99,162,86,14,376,149,Medium,48,18,No,Yes
37,132,60,24,825,68,Bad,44,19,No,No
24,91,35,29,319,143,Medium,55,14,Yes,No
93,150,120,13,125,162,Good,45,15,No,No
46,55,69,6,620,195,Medium,57,12,Yes,No
53,75,127,16,882,112,Medium,20,14,Yes,No
95,113,41,43,109,165,Bad,39,17,No,No
99,108,138,19,477,162,Medium,47,15,Yes,Yes
60,158,82,35,732,96,Good,35,13,Yes,Yes
97,170,100,8,736,106,Bad,36,11,No,No
63,82,39,37,781,167,Bad,59,18,No,No
85,199,74,47,683,94,Medium,47,10,Yes,No
32,70,46,21,251,194,Bad,31,10,No,No
87,119,55,1,819,53,Bad,46,13,Yes,Yes
33,161,114,23,148,197,Bad,49,16,Yes,No
67,53,121,7,253,96,Bad,53,10,No,Yes
18,143,91,10,958,192,Bad,56,18,No,Yes
25,124,75,12,392,96,Bad,25,13,No,No
95,111,93,16,679,127,Good,26,12,No,No
54,143,31,7,149,173,Medium,51,10,Yes,Yes
58,144,83,20,763,124,Good,51,19,Yes,Yes
67,104,136,17,630,152,Bad,44,13,No,No
46,186,94,29,711,186,Bad,52,18,No,No
24,180,80,17,159,139,Medium,26,19,Yes,No
32,80,82,45,266,193,Good,31,15,Yes,Yes
47,89,65,46,301,118,Medium,35,15,Yes,Yes
